,Reviews,Replies,Summary
10,"Good food, Good people... 1 stars off because of extra ice quantity in thai ice tea than what is necessary. Nice people, they explained this is how they normally do it, $7.00 seems a bit expensive for this much ice. Do you agree with me there should be less ice in thai ice tea?",Bullet points: - Good food quality., 
11,"Honestly I came in looking for a healthy meal, so I chose the vegetarian Kung pao expecting something light. The tofu is fried and when you bite into it, it's very oily with little to no flavor. At least now I know I should skip the tofu meal here. Portion was pretty good but I never understand why tofu dishes are more than $10.",Bullet points: - Fried tofu dish. - Tofu is very oily and lacks flavor., 
12,"My understanding this is a sister restaurant of Ginger Cafe and they both have similar menu (with Ginger cafe being a higher end restaurant and Fukee as the fast food option  We have been eating Fukee for more than 7 years since we moved to south San Jose, both dine in and take out. We used to always bring our dog and dine outdoor.  The vegetarian option is the bomb here and there is no comparison in other similar American Chinese restaurants. Their vegetarian foods are the reason that we keep coming back. Our favorites are:  1. Vegetable de Asia 2. Crispy mandarin tofu 3. Vegetarian kung pao  They have some really good non vegetarian dishes as well, my favorite being Potato beef.  Service is semi fast food where you have to order at the counter and pick up your own food but they will clean up the dishes after the meal. Haven't dined in door since pandemic so not sure if things have changed","Bullet points: - Vegetarian options are outstanding. - No comparison with similar American Chinese restaurants. - Vegetarian foods are the reason for returning. - Top favorites: Vegetable de Asia, Crispy mandarin tofu, Vegetarian kung pao. - Non-vegetarian dishes are also great. - Potato beef is a favorite.", 
13,We found a cute spot while waiting for a doctor appt nearby.  Totally underrated.  The dim sum is flavorful and steamed right. We had the sample platter and our favorite was the squid ink!  The eggplant plate was also spiced just right. Beautiful flavors.  Last the red bean sesame ball crispy and sticky enough.  A great 20 mins meal in between waiting!,Bullet points: - Flavorful and well-steamed dim sum. - Squid ink is a favorite in the sample platter. - Eggplant plate is spiced just right. - Beautiful flavors overall. - Red bean sesame ball is crispy and sticky., 
14,"This place has really good food, whether you pick it up or door dash it. It's always good!!",Bullet points: - Good food quality. - Consistently good whether picked up or delivered via DoorDash., 
15,Hidden gem. Their dim sum are as good as the best Richmond district dim sum spots in SF.,Bullet points: - The restaurant's dim sum is of high quality. - Comparable to the best dim sum spots in the Richmond district of San Francisco., 
16,Went to Fu Kee for lunch today. I ordered shrimp fried rice and teriyaki chicken rice bowl. I paid $26 for these two items. The shrimp fried rice was $15 it only had four small pieces of shrimp. The teriyaki chicken bowl was not dressed with teriyaki sauce yet it had A small container that contained about 2 tablespoons of teriyaki sauce that's not enough to dress your rice and chicken and the chicken was completely dry. For the amount of money for two items you would expect a little bit more. So if you go there just beware.,Bullet points: - Shrimp fried rice for $15 only had 4 small pieces of shrimp - Teriyaki chicken bowl lacked teriyaki sauce and only came with a small container (2 tablespoons) - Chicken in the teriyaki chicken bowl was completely dry., 
17,I have been eating at Fu Kee for years and have had overall great experiences.  They have multiple yummy vegetarian dishes that I enjoy.  They also have some really yummy vegetarian dumplings.  I always get the kung pao vege chicken and the sesame rolls.  I also sometimes order vegetable chow main with \,Bullet points: - Multiple yummy vegetarian dishes available. - Delicious vegetarian dumplings on the menu. - Kung pao vege chicken and sesame rolls highly recommended. - Vegetable chow mein also a good option., 
18,"I got the the orange chicken and rice plate, dumplings, and candied prawns.The food was great, but there is a long wait time. Order ahead, if you can. The estimated time is pretty accurate.",Bullet points: - Great food quality., 
19,"For lunch, I did a takeout consisting of eggrolls, potstickers, roasted garlic egg fried rice, candied pecan prawns, and chicken with string beans.   The fried rice and the chicken with string beans were both excellent. Other items were good but did not stand out.   The service was fast, the restaurant was very clean, and the staff was friendly.  Although the menu is somewhat limited, I will be back to try other dishes in addition to the two excellent dishes.",Bullet points: - Fried rice and chicken with string beans were excellent. - Other items were good but not outstanding., 
20, , ,"Based on the provided bullet points, there are both positive and negative experiences with regards to the food quality at Fu Kee Restaurant. Starting with the positive feedback, multiple customers praise the restaurant's dim sum dishes, with some saying they are comparable to the best dim sum spots in San Francisco's Richmond district. The Shanghai pork dumplings, mushu chicken appetizer, and veggie bao and dumplings were particularly enjoyed. Vegetarian options also received high praise, with customers recommending dishes such as Vegetable de Asia, Crispy Mandarin Tofu, and Vegetarian Kung Pao. The teriyaki chicken bowls were described as feeling light and healthy, while the crunchy egg rolls with lots of vegetables and fried rice with chicken and string beans were excellent. However, there were also many negative reviews regarding the food quality. Some customers reported experiencing poor food quality, with dishes described as fake or not authentic. The pan-fried dumplings and steamed buns were thick, hard, and dried, and the Chao Zhou crab cakes were dry and not good. One customer expected to eat mango but instead received poorly cooked potatoes. The fried tofu dish was reported to be very oily and lacking in flavor."
