,Reviews,Replies
10,"I have no gripes with the pizza, but the service is consistently horrible at this location. Tonight they made 2 out of 3 pizzas ordered online (which were ready when I walked in the door), but then forgot about the third. When I finally asked about the status, a woman said that in person orders took precedence, except I had been sitting in the place for so long, I knew there were no in person orders and that she was lying. So frustrating.  Edit to add: I forgot to note that twice they very politely (the young man making the pizzas was working very diligently) tried to give me the wrong pizza.", 
11,"Came and ordered online for Bagby dinner night where proceeds go to the school. Could not enter the code when I ordered the food. When I got there, the food was ready on time but I told the person that I couldn't enter the code to help credit the school. The guy said I don't know and pretty much ignored me a bit.   I went to my car and got the announcements and showed it to him and I guess someone else's who was in charge. They stated they didn't know about it and that they have been told these things for the last few months. I just the reason why I came here was for the school and told them that they need to deal with it and figure it out. Not sure if they called the manage but I left with my food.   Kids loved their food but they messed up my order.   I just got a pepperoni pizza with no toppings, I was the only pizza out of 5 that was incorrect. I guess next time spot check your orders.  Everyone else is enjoying their pizza but I feel disapointed since this was a good cause and my pizza was not correct.", 
12,"Loved the crust on my pizza!! Crunchy and just thick enough to not end up with too much carbs!  Load it up with whatever veggie you want that day and make it a salad on a pizza. Pretty satisfying and a lot healthier than the usual pizza.  I always top my pizza with a spicy sauce to kick it up a notch, or just use as a dip if you are taking to-go!  Just", 
13,"The pizza is great, but do not order online anytime that you think it might be busy. My two personal pizza are still not ready an HOUR after the designated pick up time.   I watched as all the people in the long in-store line ordered, got their pizzas, ate and left, while I have been sitting and waiting for my order to be made.", 
14,"Ordered from here (and eaten at the spot) multiple times - most recent experience was no different. It's just ok if you're in a rush, or on a quick lunch-break and want a reasonably-priced, filling meal.   General: it is a bit of a cookie-cutter fast-food pizza experience, i.e. convenient, consistent, moderately-priced and enough variety that there's a little something for everyone.   Pros: The main thing is that you can customize your pizza and that they are quite generous (perhaps a bit too much) with the toppings - you can add as much of anything you like. Ditto with their salads - for $11.95, you'll come away with something heavier than a bookshelf if you want... and their standard menu has a few good ingredient combos if you don't want to come up with your own salad or pizza-topping list.   Nice touch: their drink list is actually better than most spots (includes Mexican coke, flavoured San Pellegrino soda, Boylans soda) and have a nice little \","Bullet points: - Reasonably-priced, filling meal for those in a rush or on a quick lunch break - Moderately-priced with variety for everyone - $11."
15,Terrible. Ordered 2 pizzas got 1 after about 30 minutes of waiting the lost my pizza some how asked me to wait back in line. I already paid why would I wait in lime again. Asked for a refund and was told by employee that he can't give me a refund because no one there knew how to. So was told to call in morning for refund makes no sense. Went in 10.23.22 around 6pm, 
16,I've had Blaze and that is decent. This place. I'd rather not say but one star says it all. Ingredients and taste were horrendous. I was very disappointed. I can see why there aren't many of these establishments around, 
17,"I ordered online so I could skip waiting on the pizza in person. This was a very efficient process. The pizza looked a little more blackened than I would like. However, I'm overall a fan because you literally pick the ingredients you want! How could you dislike your own choices of toppings? They don't really limit each category, you could go crazy and get 8+ sauces, cheeses and toppings on your pizzas. I ordered an 11\", 
18,"Once again I try and give this place a second chance and they prove me right for staying away. Went on a Friday night, line o was about 10-12 people deep. No issue, I'll wait my turn, but once i finally go to the front, it had been 20 something minutes. then once I get to the front, all 3-4 people start making all the phone orders. I get that there's phone orders, but what about the people standing in front of you? So I wait another 10-15 minutes, get my pizza made, and then no one is at the register to pay, another wait for someone. I felt like just walking away and getting my pizza for free to go. After I get my pizza, I asked for ranch and the dude squirts ranch that poured out like milk, he's just like, \", 
19,"They need to stop advertising that they offer curbside. I've been here twice and they're so short handed they haven't brought it out. Then, when I walked in to pick up my order, they hadn't even started it. I know they may not have enough employees, but the need to make changes somewhere.", 
