,Reviews,Relevant Content,Replies,Comments,Summary
10,"This place was just so-so in my opinion. For a quick Chinese take out/Panda Express styled restaurant, they really overcharge you /: My Mom and I ordered (2) three item plates & 2 egg rolls and ended up paying $33!!! I couldn't believe it.   We ordered the salt and pepper pork chop and that in my opinion was the best thing that we ordered. The chow mein I received barely had any noodles. The green beans did not have that much flavor. My Mom ordered the chow fun and that tasted a lot better than the chow mein.   The restaurant is very small and cramped. It doesn't really have the best lighting and the door is open so it's pretty cold inside. The workers seemed nice enough, from what I could tell.","*The workers seemed nice enough, from what I could tell.",* Workers appeared to be nice, , 
11,"QUICK LUNCH AT FINANCIAL DISTRICT  Working in the Financial District in SF I only have an hour for lunch. So during that time I have to make the most of lunch. This place is fairly close to my work. Most of the time when I come here it is for the soup whether it is wor wonton or chicken, egg, and soup. I like the soup here because the broth in the soup is clean. What I like about this place is there are selections that stand out from other Chinese eateries in SF. If I decide to order three items from the steam table one of those items has to be honey pepper pork. Sometimes from the \",No relevant information found., , , 
12,Beef noodle soup is decent. I'm you can choose either egg noodles or rice noodles. Soup is not very spicy but flavorful.,No relevant information found., , , 
13,"This is my go-to place for five spiced chicken. Here are my recommendations: 1. Chicken salad: yes it can make you full. Once it's served to your partner who ordered it you'll start to regret why you haven't ordered it. It's the best stir fried (not deep fried) chicken you can get, and it has noodle in it so yep it can fill you up. 2. Special pho: well you don't go wrong with pho. This is one of the dishes that's hard to screw up, just like Korean BBQ beef... 3. Vege noodle soup. It has tomato soup as the base which makes you think it's spicy at the first place, but then you'd find it's a much more friendly taste. A little downside here: you'd feel pretty full in the afternoon and that sometimes makes you feel sleepy...",No relevant information found., , , 
14,"Before the pandemic I used to work at a firm on this street, I stopped by here for lunch one day and omg I loved the seafood pho and their chili oil is amazing. I hope the workers are doing well, they were always very kind and welcoming.",*they were always very kind and welcoming.,* Staff was kind and welcoming, , 
15,"This is a pretty tiny Chinese place in the FiDi area that has a rice/noodle + 1 to 2 item plate option buffet all ready to serve, or menu items that can be ordered and prepared while you wait. Many customers seemed to choose the latter, more notably the udon and noodle soups. We went with the buffet option and each ordered a 1 item + rice plate which was served quickly and we grabbed a small table in the corner as the place was filling up quickly with people for pick up orders as well as dine-in.   For vegetarians, there's not really a lot of options available on the buffet table, but you'll find one or two items if you're not too picky. I picked the spicy tofu with a side of fried rice and while it was definitely on the spicy side, it was good, a sizeable portion, and a decent price.   If you're looking for something quick and inexpensive, and aren't a fan of the generic Chinese takeout style, this isn't a bad option if you're in the area.",*Our plates were served quickly *The place was filling up quickly with people for pick up orders as well as dine-in,* Plates were served quickly * The place was filling up quickly with people for pick-up and dine-in orders, , 
16,Some of the best food I have ever eaten. We got alittle bit of everything. And the staff was super friendly. Definitely coming back here when I visit San Fransico again.,*the staff was super friendly.,* Super friendly staff, , 
17,"I come here for the War Won Ton Soup no noodles, and the Salt and Pepper Wings. I not a big Won ton fan. But I love, love theirs. For Pot lucks in our office one of my coworkers always bring in the wings. Very good choice.  One day I tried the Pho disgusting. It reminded me of Beef Soup. Nothing like a Pho broth should be. I will never order that again.    But I will be back for the War Won Ton Soup and Wings!",No relevant information found., , , 
18,"Came here after suffering from my usual bout of indecision regarding a lunch option. Felt like something fast, filling, cheap, and maybe a tad unhealthy, so I figured Chinese food would fit that bill perfectly. And being that it was about 5 blocks away from the office, gave me a nice little jog to enjoy the fresh air before going back to work. Browsing through Yelp, I saw that 77 Chinese & Hawaii BBQ was nearby, and allowed online orders (saving me a wait in line when I arrived).   When I first arrived here, I had a bit of trouble finding this little shop as I literally walked right by it without noticing it was even there. Had to pull up my Yelp app, and use the map to realize I walked a bit too far down Battery. Upon entering, instead of getting into their assembly style line, I saw that they had a \",No relevant information found., , , 
19,I originally checked this place out because I was intrigued by their \,No relevant information found., , , 
20, , , , ,"There are generally positive reviews about the service at 77 Chinese & Vietnamese Cuisine. Customers have praised the polite and friendly staff as well as the quick service they received. They also appreciated the clean and well-maintained customer restroom. However, some have noted that the restaurant gets busy during weekday lunch times, which can result in longer wait times. There were also a few negative reviews about staff members being unresponsive or giving away meal orders to other customers. Despite this, there were still many positive reviews about the knowledgeable staff, especially Wen, who was described as super friendly and ensuring amazing food. Overall, it seems that the service at 77 Chinese & Vietnamese Cuisine is generally good, with friendly and efficient staff."
