,Reviews,Relevant Content,Replies,Comments,Summary
11,"We first of all, got seated pretty quickly on a Wednesday night. It was a chilly night and we were seated outside but the heaters were great and we felt nothing but comfortable. We ordered 2 starters: Golden eggplant and the roti curry sauce. The eggplant was good but not amazing but that could be personal preference. The roti and both sauces were extremely tasty but the size of the roti was small. For main courses we ordered the green curry with tofu and vegetables and pad ke mao. Both were very tasty, the rice was extra and doesn't come with the curry. Overall we enjoyed this experience. This place is slightly pricey but overall fairly worth it.",No relevant information found., , , 
12,"I have been here a couple times before and found food and service acceptable. Not great, but completely respectable pad thai and other standard Thai stuff. Last time it was pretty bad. Noddle dishes were extremely salty - so much salt that it killed any other flavor. in contrast, soups were so bland that they tasted like hot water and little else. My drink was unacceptable. I was in the mood for a cocktail and ordered an old fashioned (my bad - old fashioned in a Thai restaurant) and it was frankly the worst mixed drink I've had in my entire life: a red concoction with no bourbon at all, crushed ice, and lime?! Service was so mediocre, our server did not pay any attention to us except for glaring at us as we paid and selected tip in the ipad. Alas, not returning.",*Service was so mediocre *server did not pay any attention to us except for glaring at us as we paid and selected tip in the ipad.,* Mediocre service * Server did not pay attention except for glaring at the user during payment and tip selection on iPad, , 
13,"This has become our go-to Thai spot! We love anything with Thai basil! The service is great, everyone was so kind & accommodating! The red curry with basil is my favorite.",*The service is great *everyone was so kind & accommodating!,* Great service * Staff were kind and accommodating, , 
14,"I came here for a work dinner and we all were blown away. The service was fast and friendly. We were able to be seated right away. The interior had a cool vibe. Everyone absolutely loved their food choices. The drink menu included a variety or beer, wine and cocktails. I will definitely be eating here in the future!",*The service was fast and friendly *We were able to be seated right away,* Fast and friendly service * No wait time for seating, , 
15,3 words:  This ain't it.  Makes me wonder if they have a Thai chef. I've been to a LOT of Thai restaurants and this ain't it.,No relevant information found., , , 
16,A good Thai place for lunch or dinner off the hustle and bustle of University Ave. I enjoy prime people watching while sitting on the \,No relevant information found., , , 
17,"I've ordered here a few times for delivery and thought this place was just OK each time. Here's what we got recently:  Yellow curry with chicken and potatoes: flavor is pretty good. I was not super impressed with the chicken though since the pieces were quite dry. I liked the potatoes!  Pad see ew with chicken: same problem, chicken breast was pretty dry. Flavor is decent although not the best pad see ew I've had.   Vegetable stir fry: ugh this dish was $14 and they barely gave you anything. It was also mostly string beans and bean sprouts (I hate bean sprouts). This was absolutely not worth it!  Beef with basil: beef was tough again and I thought the flavor was just OK. I find tough beef especially difficult to eat.",No relevant information found., , , 
18,"Take out review. Pad Thai. Coconut soup and green curry. Really want this to be good, but it's not. The pad Thai is a MAJOR disappointment. I don't have a high standard for pad Thai but this was dry garbage. Some loose noodles and some shrimp.no other ingredients. It should be a Sunday major side. But instead was a major disappointment.",No relevant information found., , , 
19,"Impromptu Thai food is the best way to satiate that Thai food craving and Thaiphoon definitely hit the mark! We ordered through doordash and our meal came very quickly.   #Fried egg rolls (veggie) -- These were delicious! They were still hot and crispy when we received them, and the sweet and spicy sauce was perfect.   #Green papaya salad -- comes with a decent amount of papaya salad and 3 huge shrimp. Very tasty!  #Pad Thai noodles -- your classic pad Thai. Nothing crazy special. Flavors were what you'd expect and the noods were the perfect springy texture.   #Panang tofu curry -- delicious and creamy! Definitely a hit. They give a lot of tofu, which is nice.   All in all a solid Thai food experience for those nights you have that craving. Will definitely be ordering from them again!",*We ordered through doordash and our meal came very quickly.,* Fast delivery via Doordash, , 
20, , , , ,"It seems that the majority of reviews about the service at Thaiphoon were positive. Customers often praised the friendly, attentive and accommodating staff. The prompt fulfillment of requests and good table service were also mentioned by several customers. There were a few negative reviews, with some mentioning long wait times due to understaffing. One review criticized the server's mediocre service and lack of attention during payment. However, overall, Thaiphoon seems to provide excellent service to their customers, whether it be in person or via delivery services such as Doordash."
