,Reviews,Relevant Content,Replies,Comments,Summary
10,Worst Pesto Caprese panini you can find in the whole of north California.   Will not be coming back ever,No relevant information found., , , 
11,No stars here...  cleanliness matters...  heath department will be involved in this review... lost appetite looking at how dirty salad station was... Then thought about a smoothie and watched clerk Anthony use same blender with dried ingredients on the the side from the previous 50 smoothies. I  asked if he could at least rinse it for me and Anthony got an attitude. Asked his name and got the... \,*watched clerk Anthony use same blender with dried ingredients on the side from the previous 50 smoothies. *Anthony got an attitude.,* Clerk Anthony used the same blender for multiple smoothies without cleaning * Anthony had an attitude, , 
12,The worst food I ever ate at a food court.  I ordered a \,No relevant information found., , , 
13,I work here in the mall and sometimes don't want some thing heavy so come here for soup- the problem is they never have it - even though it is always on the menu. So frustrating I gave up on them.,No relevant information found., , , 
14,"Meehh !! I was really hungry after a long day of retail therapy and spotted this place in the outlet food court. I ordered a Chicken Panini which was the most sad Panini I ever had. No seasoning on the chicken, soggy bread and lined with dead lettuce leaves. This place does let you make your own sandwich or salad. Overall, I won't go to this place again. I would prefer food trucks standing inside the outlets premises over this place.",No relevant information found., , , 
15,"Well, I was certainly satisfied for the most.  **This review is specifically for Greenleafs**  After doing some shopping and working up a bit of an appetite, I realized I should probably grab something to eat.  I really never expect anything spectacular to be executed from food places such as this, and was actually quite impressed with what I ordered based upon my low expectations.   I ordered a \",No relevant information found., , , 
16,Ordered a salad and it's pretty good. Fresh veggie and fruit. Line was long and they are handling it well for me to get my food pretty quick. Healthy option in the mall,*Line was long and they are handling it well for me to get my food pretty quick.,"* Long line, but efficient service", , 
17,"I had the worst Panini ever here. Wish I yelped it before ordering, would have gone for Subway than this place but we were in hurry and ended up their Vegetarian Panini. The sun dried tomato in it was so dry that you can barely chew!   Had a bad lunch but shopping cheered me up :)",No relevant information found. (This review does not mention anything related to service., , , 
18,I ordered a hot panini. The chicken as cold and very little food between the bread. They're display had a lot more food between the bread.,No relevant information found., , , 
19,"THIS PLACE WAS BEYOND NOT WORTH THE MONEY. The food is actually disgusting , the area they make it in is filthy. The people working there were rude and inconsiderate . It was actually insane . We waited for a salad and a sandwich for 30 minutes ... and we were the only customers at that moment ! We saw a bigger set lady smell the sauce that she was putting on my girlfriends sandwich . I honestly do not understand why it took so long . They had 4 people working at the same time . I'm disgusted . The salad I bought was so disgusting as well . The eggs tasted expired , the lady put way too much sauce and didn't ask if I wanted it on the side ! We spend over 17$ here for a gross sandwich and salad . We asked if we could get a refund . We didn't even touch the food and they said \","*people working there were rude and inconsiderate *waited for a salad and a sandwich for 30 minutes *the lady put way too much sauce and didn't ask if I wanted it on the side *asked if we could get a refund, but they refused.",* Rude and inconsiderate staff * 30 minute wait for salad and sandwich * Excessive sauce added without consent * Refusal to issue refund, , 
20, , , , ,"There are mixed reviews regarding the service at Green Leaf's & Bananas. Some customers had positive experiences, stating that the staff was quick to assist and provided good customer service. However, there were multiple negative experiences, such as long wait times, poor communication, and rude and inconsiderate staff. In one instance, a customer had to wait for a panini without any indication of when it was ready, and when it was finally received, it was cold. Additionally, there were complaints about a staff member using the same blender for multiple smoothies without cleaning it, and having an attitude. Overall, the sentiment towards the service at Green Leaf's & Bananas is mixed, with some customers having positive experiences and others having negative ones."
