,Reviews,Replies
10,"The Funny Farm, AMAZINGLY delicious food and mouth watering drinks with great service and a casual atmosphere.   Great customer service from all employees. Walking in and we were greeted with a smile and then quickly seated. First time we came we got the special seats for 2 with the velvet high back seats, fun. This time around we were a larger group so we were seated at a regular table. The interior is fun with cool nooks and crannies for dining. They offer indoor and outdoor dining options.   Now the food, OMG, everything is definitely delicious and perfectly prepared and nicely presented. Portions are very generous and enough to share if you wanted to.   FOOD  What we ordered Get Shorty Mother Clucker The Burgereeto The Yardbird Stinky Fries Tater Tots Everything was so good we had to come back again and eat here, but, this time we had to bring the family so they to can enjoy the food here.  DRINKS  What we ordered Chocolate Martini  Michelada  The Sinful Sunset  The Peach Paloma  Oh and I cant forget the BLUE drink on the secret menu. Thank you and CHEERS Marvin for the amazing drinks you prepared for us and your friendly spirited hospitality. We will see you again in the near future.   I highly recommend you visit The Funny Farm for a fun and welcoming experience with great customer service. Your bellies will thank you for the delicious food and drinks. Disregard negative reviews and come experience it for yourself. Say patricia sent you, lol. Happy dining.","1. [food]=AMAZINGLY delicious food and mouth watering drinks with great service and a casual atmosphere. 2. [food]=Now the food, OMG, everything is definitely delicious and perfectly prepared and nicely presented. 3. [food]=Portions are very generous and enough to share if you wanted to. 4. [food]=What we ordered Get Shorty Mother Clucker The Burgereeto The Yardbird Stinky Fries Tater Tots Everything was so good we had to come back again and eat here, but, this time we had to bring the family so they to can enjoy the food here."
11,"I came here for my birthday lunch/dinner cuz the food looked like comfort food and just looked really tasty and that I'd be in a food coma right after...but a happy food coma lol Now the waitress ELLIE was soo cool and made our visit there fun and absolutely enjoyable. Ellie's the homie lol They have a little bar inside which we ordered like 20 shots cuz it was happy hour:)and the restaurant itself is about medium size. It's comfortable. Now the food was very satisfying. I had their truffle burger which was THEEE BOMB and we ordered their short rib poutine which had my eyes rollin in the back of my head lol My aunt ordered some pasta which, from what I remembered, was pretty good and everyone ordered different burgers and they all loved their food. I don't remember what they ordered cuz I was pervin and swervin but i do fursholy remember the truffle shuffle and that poutine. Delicioso!! Would I come back there...HELL YEEEAA shooot That place is small and quirky and I love the food and am looking forward to exploring their menu. Great service, great food, great vibe.","1. [food]=the food looked like comfort food and just looked really tasty 2. [food]=the food was very satisfying 3. [food]=I had their truffle burger which was THEEE BOMB 4. [food]=we ordered their short rib poutine which had my eyes rollin in the back of my head 5. [food]=My aunt ordered some pasta which, from what I remembered, was pretty good 6. [food]=everyone ordered different burgers and they all loved their food 7. [food]=i do fursholy remember the truffle shuffle and that poutine. Delicioso!!"
12,"Tried this place for the 1st time after seeing via Yelp.  It did not disappoint.   Very friendly staff = A service.   Delicious dishes.  We tried the poutine fries with gravy.  Truffle burger (no photo taken), Philly melt and bbq brisket melt.  All are very yummy in our tummies.   Enjoyed my experience and I can recommend to others.    Our server, Maureen (I believe that's her name) is super welcoming and friendly. Thank you.","1. [food]=Delicious dishes. We tried the poutine fries with gravy. Truffle burger (no photo taken), Philly melt and bbq brisket melt. All are very yummy in our tummies."
13,Maureen was awesome... very attentive and enthusiastic..   Will definitely be coming back,1. Food=No relevant information found.
14,"A number of restaurants tried and failed to succeed this former Pasta Pomodoro. Looks like the Funny Farm has staying power! They have an intriguing brunch menu in addition to their made-for-adults burgers. Great quality food, ample portion and excellent service.  Speaking of service, I'd like to give a shout out to Shehraaz for his enthusiasm and attention. He really made our lunch memorable!","1. [food]=They have an intriguing brunch menu in addition to their made-for-adults burgers. Great quality food, ample portion and excellent service."
15,Food was great. I got the nashville benedict which was a creative mixture of two great dishes. Our server Ellie was super fun and fantastic :),1. [food]=Food was great. I got the nashville benedict which was a creative mixture of two great dishes.
16,"I never done dine-in here, but a couple of coworkers and I have gotten takeout from Funny Farm on multiple occasions.   When we call in to place orders, they are always kind, knowledgeable, and ready with suggestions, when asked. It does take a little longer to prepare orders here than at some other burger joints, but it's well worth the wait. I've never been disappointed by anything I have ordered and I always get an egg on my burger!  When we first started ordering from them, the space was a tiny hole-in-the-wall tucked into a sports bar. Now, they have their own restaurant near EVC! I'll let you know how the vibe is once I make it in there to do sit-down dining.","1. [food]=It does take a little longer to prepare orders here than at some other burger joints, but it's well worth the wait. 2. [food]=I've never been disappointed by anything I have ordered and I always get an egg on my burger!"
17,"Service : 10/10 Food : 9/10 Drinks : 9/10  Overall 9.5/10 Would highly recommend this place! I've had it bookmarked on my yelp for awhile now and finally decided to give it a try .. not disappointed at all, we got the truffle shuffle burger , Angus Beef Melt & Philly cheese steak tater tots. Their dinner menus was great so I'll definitely be coming back for their breakfast menu :)","1. Food=we got the truffle shuffle burger , Angus Beef Melt & Philly cheese steak tater tots."
18,Where to start? Incredibly overpriced for really tiny burgers. I was shocked at the minuscule size of \,1. [food]=Incredibly overpriced for really tiny burgers.
19,"We have been to this location twice and love dining here! Our server Maureen was amazing, helpful and super attentive.   We highly recommend the short rib poutine with gravy and the UFO burger was huge.   The Peanutbutter pie is a great choice for dessert. Although they have large ice cream sundaes, homemade cookies and more.   The happy hour is 3-6pm $5 well drinks, $9 glass of wine and other specials. The drink selection is plentiful and Marvin the bartender made delicious cocktails.    Outdoor seating. Very clean restaurant and restrooms. The owners are extremely nice and hands on. We love the menu, food, drinks, service and ambiance...we will be back!","1. [Food]=We highly recommend the short rib poutine with gravy and the UFO burger was huge. 2. [Dessert]=The Peanutbutter pie is a great choice for dessert. Although they have large ice cream sundaes, homemade cookies and more."
